id,brand,model,size,span_cm,area_cm2,thickness_mm,is_baseline,thickness_estimated,specs_estimated,aliases
1,Gong,TRAIL,L,125.0,1660.0,26.1,False,False,False,
2,Gong,TRAIL,XL,135.0,1940.0,28.2,False,False,False,
3,Gong,TRAIL,XXL,145.0,2240.0,30.3,True,False,False,
4,Gong,ULTRA TRAIL,L,133.0,1000.0,18.0,False,False,False,
5,Gong,ULTRA TRAIL,XL,148.0,1250.0,20.2,False,False,False,
6,Gong,ULTRA TRAIL,XXL,162.0,1500.0,22.1,False,False,False,
7,Gong,ULTRA TRAIL,3XL,175.0,1750.0,23.9,False,False,False,
8,Gong,ULTRA TRAIL,4XL,188.0,2000.0,25.5,False,False,False,
9,Gong,SIRUS,L,116.0,1450.0,22.0,False,False,False,
10,Gong,SIRUS,XL,136.0,1700.0,23.0,False,False,False,
11,Gong,SIRUS,XXL,156.0,2000.0,23.0,False,False,False,
12,Gong,SIRUS,3XL,186.0,2400.0,23.0,False,False,False,
13,Gong,SIRUS,5XL,249.0,3100.0,23.0,False,False,False,
14,Sabfoil,LEVIATHAN,950,95.0,1300.0,22.9,False,False,False,
15,Sabfoil,LEVIATHAN,1150,115.0,1580.0,22.9,False,False,False,
16,Sabfoil,LEVIATHAN,1350,135.0,1870.0,22.9,False,False,False,
17,Sabfoil,LEVIATHAN,1550,155.0,2140.0,22.9,False,False,False,
18,Sabfoil,LEVIATHAN,1750,175.0,2400.0,22.9,False,False,False,
19,Sabfoil,LEVIATHAN PRO,1060,106.0,947.0,14.0,False,False,False,
20,Sabfoil,LEVIATHAN PRO,1160,116.0,1083.0,14.0,False,False,False,
21,Sabfoil,LEVIATHAN PRO,1260,126.0,1227.0,14.0,False,False,False,
22,Sabfoil,LEVIATHAN PRO,1360,132.0,1400.0,17.0,False,False,False,
23,Sabfoil,RAZOR PRO,1075,107.5,1061.0,17.0,False,False,False,
24,Sabfoil,SEA DEVIL,1040,104.0,2445.0,46.3,False,True,False,
25,Sabfoil,SEA DEVIL,1240,124.0,2742.0,44.7,False,True,False,
26,Duotone,GLIDE 2.0,620,80.0,620.0,15.0,False,False,False,
27,Duotone,GLIDE 2.0,750,88.0,750.0,16.0,False,False,False,
28,Duotone,GLIDE 2.0,900,96.0,900.0,17.0,False,False,False,
29,Duotone,GLIDE 2.0,1100,106.0,1100.0,18.5,False,False,False,
30,Duotone,GLIDE 2.0,1350,116.0,1350.0,20.0,False,False,False,
31,Duotone,GLIDE,1595,130.0,1595.0,18.5,False,False,False,
32,Duotone,AMP,1750,143.3,1750.0,18.5,False,False,False,
33,Duotone,AMP,2145,143.0,2145.0,22.0,False,False,False,
34,AXIS,PNG,850,85.0,1102.0,15.0,False,False,False,
35,AXIS,PNG,910,91.0,1267.0,16.0,False,False,False,
36,AXIS,PNG,910B,91.0,1267.0,16.0,False,False,False,
37,AXIS,PNG,1010,101.0,1430.0,17.0,False,False,False,
38,AXIS,PNG,1150,115.0,1778.0,18.0,False,False,False,
39,AXIS,PNG,1300,130.0,1712.0,18.0,False,False,False,
40,AXIS,PNG,1310,131.0,2080.0,18.5,False,False,False,
41,TAKOON,PUMP PRO,1350,133.0,1350.0,18.6,False,False,False,
42,TAKOON,PUMP PRO,1550,142.0,1550.0,20.5,False,False,False,
43,TAKOON,PUMP PRO,1750,151.0,1750.0,22.5,False,False,False,
44,TAKOON,PUMP PRO,1950,159.0,1950.0,24.0,False,False,False,
45,TAKOON,PUMP PRO,2300,173.5,2300.0,26.0,False,False,False,
46,Sabfoil,RAZOR PRO,675,68.0,550.0,14.1,False,False,False,
47,Sabfoil,RAZOR PRO,775,78.0,631.0,15.3,False,False,False,
48,Sabfoil,RAZOR PRO,825,82.0,746.0,16.0,False,False,False,
49,Sabfoil,RAZOR PRO,875,88.0,843.0,16.8,False,False,False,
50,Sabfoil,RAZOR PRO,975,98.0,942.0,16.8,False,False,False,
51,Sabfoil,MEDUSA PRO,669,66.9,548.0,14.2,False,False,False,
52,Sabfoil,MEDUSA PRO,769,76.9,700.0,15.7,False,False,False,
