id,brand,model,size,span_cm,area_cm2,specs_estimated,user_id,aliases
1,Sabfoil,Flat,325,32.5,155.0,False,,
2,Sabfoil,Flat,370,37.0,195.0,False,,
3,Sabfoil,Flat,425,42.5,266.0,False,,
4,Sabfoil,Reverse,355,36.0,160.0,False,,
5,Sabfoil,Reverse,375,38.0,178.0,False,,
6,Sabfoil,Reverse,395,40.0,198.0,False,,
7,Sabfoil,Gullwing,380,38.0,180.0,False,,
8,Sabfoil,Gullwing,430,43.0,240.0,False,,
9,Sabfoil,Gullwing,480,48.0,285.0,False,,
10,AXIS,Freeride,400/90,40.0,291.18,False,,
11,AXIS,Freeride,500/90,50.0,360.77,False,,
12,North,Sonar,S178,,178.0,True,,
13,North,Sonar,S208,,208.0,True,,
14,North,Sonar,S210,,210.0,True,,
15,North,Sonar,S215,,215.0,True,,
16,North,Sonar,S270,,270.0,True,,
17,North,Sonar,S320,,320.0,True,,
24,Gong,Stab Trail,L,40.0,211.0,False,,
45,Code Foils,AR Series,142AR,,,False,,
46,Code Foils,AR Series,150AR,,,False,,
47,Code Foils,AR Series,158AR,,,False,,
48,Code Foils,AR Series,166AR,,,False,,
49,Code Foils,AR Series,175AR,,,False,,
50,Code Foils,AR Series,188AR,,,False,,
51,Code Foils,R Series,110R,,,False,,
52,Code Foils,R Series,120R,,,False,,
53,Code Foils,R Series,135R,,,False,,
54,Code Foils,R Series,151R,,,False,,
55,TAKOON,Foil Stab Glide HA,100,,,False,,
56,TAKOON,Foil Stab Glide HA,130,,,False,,
57,TAKOON,Foil Stab Glide HA,150,,,False,,
58,TAKOON,Foil Stab Glide HA,170,,,False,,
59,TAKOON,Foil Stab Glide HA,190,,,False,,
60,TAKOON,Foil Stab Flash,150,,,False,,
61,TAKOON,Foil Stab Flash,170,,,False,,
62,TAKOON,Foil Stab Glide,220,,,False,,
95,F-One,Stab,C275 SURF,,,False,,
96,F-One,Stab,R275 SURF,,,False,,
97,F-One,Stab,IC6 300,,,False,,
98,F-One,Stab,C250 SURF HM,,,False,,
99,F-One,Stab,C250 FENCE HM,,,False,,
100,F-One,Stab,DW 210 HM,,,False,,
101,F-One,Stab,C200 CARVING,,,False,,
102,F-One,Stab,C195 SURF,,,False,,
103,F-One,Stab,C220 SURF,,,False,,
104,F-One,Monobloc Tail DW,XXXS 190,,,False,,
105,F-One,Monobloc Tail DW,XXS 210,,,False,,
106,F-One,Monobloc Tail Carving,XXXS 160,,,False,,
107,F-One,Monobloc Tail Carving,XXXS 180,,,False,,
108,F-One,Monobloc Tail Carving,XXS 200,,,False,,
109,KT Foils,Pulse Back Wing,95,,,False,,
110,KT Foils,Pulse Back Wing,115,,,False,,
111,KT Foils,Pulse Back Wing,135,,,False,,
112,KT Foils,Phantom Back Wing,121,,,False,,
113,KT Foils,Phantom Back Wing,141,,,False,,
114,KT Foils,Phantom Back Wing,161,,,False,,
115,KT Foils,Phantom Back Wing,181,,,False,,
116,KT Foils,Soar Back Wing,145,,,False,,
117,KT Foils,Soar Back Wing,170,,,False,,
118,KT Foils,Soar Back Wing,205,,,False,,
119,KT Foils,Nomad Back Wing,155,,,False,,
120,KT Foils,Nomad Back Wing,190,,,False,,
121,KT Foils,Nomad Back Wing,250,,,False,,
122,Indiana,Foil Stabilizer,420,,,False,,
123,Indiana,Foil Stabilizer,550,,,False,,
124,Indiana,Foil HP Stabilizer,336X-AR,,,False,,
125,Indiana,Foil HP Stabilizer,420,,,False,,
126,Indiana,Foil HP Stabilizer,Manta L,,,False,,
152,Duotone,Back Wing Stabilizer PX,160,,,False,,
153,Duotone,Back Wing Stabilizer PX,175,,,False,,
154,Duotone,Back Wing Stabilizer PX,195,,,False,,
155,Duotone,Back Wing Stabilizer S,145,,,False,,
156,Duotone,Back Wing Stabilizer S,165,,,False,,
157,Duotone,Back Wing Stabilizer S,185,,,False,,
158,Duotone,Back Wing Stabilizer S,210,,,False,,
159,Duotone,Back Wing Stabilizer H,125,,,False,,
160,Duotone,Back Wing Stabilizer H,145,,,False,,
161,Duotone,Back Wing Stabilizer H,165,,,False,,
162,Duotone,Back Wing Stabilizer H,185,,,False,,
163,Duotone,Back Wing Stabilizer H,210,,,False,,
164,Duotone,Back Wing Stabilizer H,235,,,False,,
165,Fanatic,GL Stabilizer,165,,,False,,
166,Fanatic,GL Stabilizer,180,,,False,,
167,Fanatic,GL Stabilizer,200,,,False,,
168,Armstrong,Tail Wing,HS232,,,False,,
169,Armstrong,Tail Wing,HA195,,,False,,
170,Armstrong,Tail Wing,CF300,,,False,,
171,Armstrong,Tail Wing,Dart 140,,,False,,
172,Armstrong,Tail Wing,Speed 180,,,False,,
173,Armstrong,Tail Wing,Flow 235,,,False,,
174,Armstrong,Tail Wing,Surf 205,,,False,,
175,Armstrong,Tail Wing,Flying V 200,,,False,,
177,Lift Foils,Tail Wing,21 Flow,,,False,,
178,Lift Foils,Tail Wing,31 Flow,,,False,,
179,Lift Foils,Tail Wing,26 Carve,,,False,,
180,Lift Foils,Tail Wing,33 Carve,,,False,,
181,Lift Foils,Tail Wing,34 Surf,,,False,,
182,Lift Foils,Tail Wing,38 Surf V2,,,False,,
183,Lift Foils,Tail Wing,48 Surf V2,,,False,,
184,Lift Foils,Tail Wing,25 Glide V2,,,False,,
185,Lift Foils,Tail Wing,32 Glide V2,,,False,,
186,Lift Foils,Tail Wing,38 Glide V2,,,False,,
187,Moses,Stabilizer,325,,,False,,
188,Moses,Stabilizer,330,,,False,,
189,Moses,Stabilizer,370,,,False,,
190,Moses,Stabilizer,376,,,False,,
191,Moses,Stabilizer,380,,,False,,
192,Moses,Stabilizer,399,,,False,,
193,Moses,Stabilizer,420,,,False,,
194,Moses,Stabilizer,425,,,False,,
195,Moses,Stabilizer,430,,,False,,
196,Moses,Stabilizer,450,,,False,,
197,Moses,Stabilizer,483,,,False,,
198,Slingshot,Hover Glide Rear Wing,42cm,,,False,,
199,Slingshot,Hover Glide Rear Wing,48cm,,,False,,
200,Naish,Jet Stabilizer,215,,,False,,
201,Naish,Jet Stabilizer,320,,,False,,
202,Naish,Jet Stabilizer,450,,,False,,
203,Naish,Jet HA Stabilizer,220,,,False,,
204,Naish,Jet HA Stabilizer,280,,,False,,
205,Naish,Jet HA Stabilizer,310,,,False,,
206,Takuma,Kujira Stabilizer,178,,,False,,
207,Takuma,Kujira Stabilizer,220,,,False,,
208,Cabrinha,Fusion H-Series Tail Stabilizer,74cm,,,False,,
209,Cabrinha,Fusion H-Series Tail Stabilizer,84cm,,,False,,
210,Cabrinha,Fusion H-Series Tail Stabilizer,94cm,,,False,,
211,Cabrinha,V-Series Stabilizer,180,,,False,,
212,Cabrinha,V-Series Stabilizer,200,,,False,,
213,Cabrinha,V-Series Stabilizer,230,,,False,,
214,Cabrinha,V-Series Stabilizer,285,,,False,,
215,Starboard,RAZR,220,,,False,,
216,Starboard,RAZR,250,,,False,,
235,Unifoil,Progression Tail,"13.5""",,,False,,
236,Unifoil,Progression Tail,"14.5""",,,False,,
237,GoFoil,FT-SHORT Tail,"12.5""",,,False,,
238,GoFoil,FT-SHORT Tail,"14.5""",,,False,,
239,GoFoil,FT-SHORT Tail,"17""",,,False,,
240,GoFoil,FT-SHORT Tail,"20""",,,False,,
241,GoFoil,ONO Tail,120,,,False,,
242,GoFoil,ONO Tail,140,,,False,,
243,GoFoil,ONO Tail,165,,,False,,
244,Levitaz,Rearwing,RW250,,,False,,
245,Levitaz,Rearwing,RW300,,,False,,
246,Reedin,Stabilizer,33cm,,,False,,
247,Reedin,Stabilizer,38cm,,,False,,
248,Reedin,Stabilizer,46cm,,,False,,
249,Omen,Fix Stabilizer,580,,,False,,
250,Omen,Fix Stabilizer,700,,,False,,
251,Omen,Fix Stabilizer,900,,,False,,
252,Omen,Fix Stabilizer,1100,,,False,,
254,Gong,Stab Trail,XL,43.0,239.0,False,,
255,Gong,Stab Trail,XXL,46.0,276.0,False,,
256,Gong,Stab Curve H,S,37.0,165.0,False,,
257,Gong,Stab Curve H,M,39.0,185.0,False,,
258,Gong,Stab Curve H,L,42.0,215.0,False,,
259,Gong,Stab Curve H,XL,45.0,245.0,False,,
260,Gong,Stab Fluid H,XS,31.0,115.0,False,,
261,Gong,Stab Fluid H,S,33.0,131.0,False,,
262,Gong,Stab Fluid H,M,35.0,147.0,False,,
263,Gong,Stab Fluid H,L,37.0,163.0,False,,
264,Gong,Stab Fluid H,XL,39.0,187.0,False,,
265,Gong,Stab Fluid H,XXL,42.0,211.0,False,,
266,Gong,Stab Fluid H,3XL,44.0,236.0,False,,
273,Gong,Stab Pro Fluid,38 cm,,,False,,
274,Gong,Stab Pro Fluid,42 cm,,,False,,
275,Gong,Stab Pro Fluid,45 cm,,,False,,
276,Gong,Stab Pro Fluid,47 cm,,,False,,
277,Gong,Stab Pro Fluid,49 cm,,,False,,
278,Gong,Stab Pro Fluid,52 cm,,,False,,
279,Gong,Stab Veloce H,S,33.0,113.0,False,,
280,Gong,Stab Veloce H,M,36.0,136.0,False,,
281,Gong,Stab Veloce H,L,39.0,159.0,False,,
282,Gong,Stab Veloce H,XL,41.0,176.0,False,,
283,Gong,Stab Pro Veloce H,36 cm,,,False,,
284,Gong,Stab Pro Veloce H,40 cm,,,False,,
285,Gong,Stab Pro Veloce H,44 cm,,,False,,
286,Gong,Stab Pro Veloce H,47 cm,,,False,,
287,Gong,Tail Wing Curve H,S,37.0,165.0,False,,
288,Gong,Tail Wing Curve H,M,39.0,185.0,False,,
289,Gong,Tail Wing Curve H,L,42.0,215.0,False,,
290,Gong,Tail Wing Curve H,XL,45.0,245.0,False,,
291,Gong,Tail Wing Fluid H,XS,31.0,115.0,False,,
292,Gong,Tail Wing Fluid H,S,33.0,131.0,False,,
293,Gong,Tail Wing Fluid H,M,35.0,147.0,False,,
294,Gong,Tail Wing Fluid H,L,37.0,163.0,False,,
295,Gong,Tail Wing Fluid H,XL,39.0,187.0,False,,
296,Gong,Tail Wing Fluid H,XXL,42.0,211.0,False,,
297,Gong,Tail Wing Fluid H,3XL,44.0,236.0,False,,
298,Gong,Tail Wing Veloce H,S,33.0,113.0,False,,
299,Gong,Tail Wing Veloce H,M,36.0,136.0,False,,
300,Gong,Tail Wing Veloce H,L,39.0,159.0,False,,
301,Gong,Tail Wing Veloce H,XL,41.0,176.0,False,,
302,Gong,Tail Wing Hyper Trail,S,33.3,83.0,False,,
303,Gong,Tail Wing Hyper Trail,M,36.2,98.0,False,,
304,Gong,Tail Wing Hyper Trail,L,39.1,114.0,False,,
305,Gong,Tail Wing Hyper Trail,XL,41.7,130.0,False,,
320,Gong,Tail Wing Supra Trail,S,35.8,84.0,False,,
321,Gong,Tail Wing Supra Trail,M,38.8,98.0,False,,
322,Gong,Tail Wing Supra Trail,L,41.7,113.0,False,,
323,Gong,Tail Wing Supra Trail,XL,44.7,130.0,False,,
324,Gong,Tail Wing Ultra Trail,S,36.0,70.0,False,,
325,Gong,Tail Wing Ultra Trail,M,39.0,82.0,False,,
326,Gong,Tail Wing Ultra Trail,L,42.0,94.0,False,,
327,Gong,Tail Wing Ultra Trail,XL,45.0,107.0,False,,
328,Gong,Stab Freestyle H,35 cm,,,False,,
329,Gong,Stab Freestyle H,37 cm,,,False,,
330,Gong,Stab Freestyle H,39 cm,,,False,,
331,Gong,Stab Freestyle H,41 cm,,,False,,
332,Gong,Stab Freestyle H,44 cm,,,False,,
333,Gong,Stab Freestyle H,46 cm,,,False,,
346,Gong,Stab Sirus,40 cm,,,False,,
347,Gong,Stab Sirus,45 cm,,,False,,
348,Gong,Stab Sirus,50 cm,,,False,,
349,Gong,Stab Sirus,56 cm,,,False,,
350,Gong,Stab Sirus,63 cm,,,False,,
351,Gong,Stab Curve,36 cm,,,False,,
352,Gong,Stab Curve,39 cm,,,False,,
353,Gong,Stab Curve,43 cm,,,False,,
354,Gong,Stab Curve,46 cm,,,False,,
355,Gong,Stab Curve,49 cm,,,False,,
356,Gong,Stab Curve,53 cm,,,False,,
358,Indiana,Foil Stabilizer,370,,,False,,
359,Indiana,Foil HP Stabilizer,370,,,False,,
360,Indiana,Foil HP Stabilizer,520,,,False,,
361,Indiana,Foil HP Stabilizer,Barracuda S,,,False,,
362,Indiana,Foil HP Stabilizer,Barracuda L,,,False,,
363,Indiana,Foil HP Stabilizer,Condor XS,,,False,,
364,Indiana,Foil HP Stabilizer,Condor M,,,False,,
368,Gong,Stab Veloce DW,S,36.0,105.0,False,,
369,Gong,Stab Veloce DW,M,38.0,120.0,False,,
370,Gong,Stab Veloce DW,L,40.0,135.0,False,,
371,Gong,Stab Veloce DW,XL,42.0,150.0,False,,
372,Gong,Stab Veloce XTR,XS,36.0,90.0,False,,
373,Gong,Stab Veloce XTR,S,38.0,105.0,False,,
374,Gong,Stab Veloce XTR,M,41.0,120.0,False,,
375,Gong,Stab Veloce XTR,L,43.0,135.0,False,,
379,Takoon,Foil Stab Glide,160,,,False,93,
380,AXIS,Skinny,365/55,,,False,,
381,AXIS,Skinny,362/50,,,False,,
382,AXIS,Skinny,360/45,,,False,,
383,AXIS,Skinny,359/40,,,False,,
384,AXIS,Skinny,358/35,,,False,,
385,AXIS,Skinny,358/30,,,False,,
386,AXIS,Skinny,358/25,,,False,,
387,AXIS,Skinny,280/43,,,False,,
388,AXIS,Skinny,300/45,,,False,,
389,AXIS,Skinny,320/48,,,False,,
394,Sabfoil,375DW,130,,,False,43,
395,Roam Foils,Carve,340,,,False,,
396,Roam Foils,Micro,356,,,False,,
397,Roam Foils,Flow,361,,,False,,
398,Roam Foils,Pump,460,,,False,,
399,Sabfoil,Downwind Kraken,360,,,False,,SDW/360|SDW360
400,Sabfoil,Downwind Kraken,375,,,False,,SDW/375|SDW375
401,Sabfoil,Blade,377,,,False,,
402,Sabfoil,Seadevil,245,,,False,,
403,Sabfoil,Seadevil,305,,,False,,
404,Sabfoil,Seadevil,365,,,False,,
405,ketos,105,30,,,False,139,
406,Beta Foils,Freefoil Tail,Short,,,False,,
407,Beta Foils,Freefoil Tail,Medium,,,False,,
408,Beta Foils,Freefoil Tail,Long,,,False,,
409,Indiana,Foil MB Stabilizer,Barracuda XS Tail S,,,False,,Monobloc
410,Indiana,Foil MB Stabilizer,Condor M Tail XS,,,False,,Monobloc
411,Indiana,Foil MB Stabilizer,Condor S Tail XXS,,,False,,Monobloc
412,Indiana,Foil MB Stabilizer,Dolphin M Tail M,,,False,,Monobloc
413,Indiana,Foil MB Stabilizer,Dolphin S Tail M,,,False,,Monobloc
414,Indiana,Foil MB Stabilizer,Dolphin S Tail XS,,,False,,Monobloc
415,Indiana,Foil MB Stabilizer,Marlin S Tail M,,,False,,Monobloc
416,Indiana,Foil HP Stabilizer,Barracuda M,,,False,,
417,Indiana,Foil HP Stabilizer,Condor L,,,False,,
418,Indiana,Foil HP Stabilizer,Condor S,,,False,,
419,Indiana,Foil HP Stabilizer,Marlin M,,,False,,
420,Indiana,Foil HP Stabilizer,Marlin S,,,False,,
421,Indiana,Foil HP Stabilizer,Marlin XS,,,False,,
422,Indiana,Foil HP Stabilizer,Ride XL,,,False,,
423,Armstrong,Tail Wing,Pump 202,,,False,,
424,Armstrong,Tail Wing,Dart 120,,,False,,
425,Armstrong,Tail Wing,Glide 220,,,False,,
426,Armstrong,Tail Wing,S1 300,,,False,,
427,Armstrong,Tail Wing,Surf Mk II 130,,,False,,
428,Armstrong,Tail Wing,Surf Mk II 170,,,False,,
429,Armstrong,Tail Wing,Surf Mk II 200,,,False,,
430,TAKOON,Foil Stab Carve,130,,,False,,
431,TAKOON,Foil Stab Carve,145,,,False,,
432,TAKOON,Foil Stab Carve,160,,,False,,
433,TAKOON,Foil Stab Carve,190,,,False,,
434,TAKOON,Foil Stab Monobloc Carve,160,,,False,,
435,TAKOON,Foil Stab Pump HA,50,,,False,,
436,TAKOON,Foil Stab Pump HA,75,,,False,,
437,TAKOON,Foil Stab Pump HA,100,,,False,,
438,TAKOON,Foil Stab Pump HA,140,,,False,,
439,Sabfoil,Progressive Blackbird,345,,,False,,
440,Sabfoil,Progressive Blackbird,365,,,False,,
441,Sabfoil,Progressive Blackbird,385,,,False,,
442,Sabfoil,Downwind Blackbird,375,,,False,,
443,Sabfoil,Blade Blackbird,377,,,False,,
444,Ketos,Pump Knife,40,,,False,,
445,Ketos,Pump Knife,55,,,False,,
446,Ketos,Pump Knife,65 UHA,,,False,,
447,Ketos,Pump Knife,85,,,False,,
448,Ketos,Pump Knife,95 UHA,,,False,,
449,Ketos,Pump Knife,105,,,False,,
450,Ketos,Pump Knife,135,,,False,,
451,Ketos,Pump Knife,165,,,False,,
452,Ketos,KODEBA,125,,,False,,
453,Ketos,KODEBA,155,,,False,,
454,Ketos,KODEBA,185,,,False,,
455,Gong,Stab Allvator Surf,45 cm,,,False,,
456,Gong,Stab Allvator Veloce,S,,,False,,
457,Gong,Stab Allvator Fluid,XL,,,False,,
458,Takoon,HM,100,,,False,216,
459,Gong,Curve,XXL,,,False,328,
461,Alpinefoil,HA80,80,,,False,369,
462,Axis,460 V1 pump,460/60,,,False,403,
463,AlpineFoil,HA,175,,,False,,HA175|HA 175|HA 175 High Performance
464,Levitaz,Stabilizer,180,,,False,,Stabilizator 180|Free Series 180
465,Gong,Stab fluid H L,L,,,False,48,
466,Takoon,Glide 220,,,,False,94,
467,Takoon,Glide 220,220,,,False,94,
468,Takoon,Glide,220,,,False,94,
469,Axis,Pump 460,460,,,False,146,
