# Spezifikationen, Quelle geprueft. Format:
# MARKE | Modell | Groesse | span_cm | area_cm2 | thickness_mm | Notiz | Quelle
AlpineFoil | RSX | 570 | 86.0 | 570 | - | AR ~13,1; NICHT dasselbe wie RSX ULTRA AR17 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-570.html
AlpineFoil | RSX | 700 | 95.0 | 715 | - | Name sagt 700, veroeffentlicht sind 715 cm2 (gegen rohes HTML geprueft) | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-700.html
AlpineFoil | RSX | 860 | 106.0 | 860 | - | AR 13 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-860.html
AlpineFoil | RSX | 1060 | 116.6 | 1063 | - | gegen rohes HTML geprueft | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-1060.html
AlpineFoil | RSX | 1260 | 125.1 | 1260 | - | AR 13 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-1260.html
AlpineFoil | RSX | 1400 G2 | 132.0 | 1400 | - | AR 13,2 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-1400-g2.html
AlpineFoil | RSX | 1540 | 139.9 | 1540 | - | AR 13 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rsx-1540.html
AlpineFoil | RSX CARVE | 700 | 89.0 | 700 | - | AR 11, eigene Unterreihe | https://www.alpinefoil.com/kitefoil-windfoil-shop/ailes-foils/aile-rsx-carve.html
AlpineFoil | RSX CARVE | 820 | 95.8 | 820 | - | AR 11 | https://www.alpinefoil.com/kitefoil-windfoil-shop/ailes-foils/aile-rsx-carve.html
AlpineFoil | RSX CARVE | 960 | 103.0 | 960 | - | AR 11 | https://www.alpinefoil.com/kitefoil-windfoil-shop/ailes-foils/aile-rsx-carve.html
AlpineFoil | RSX CARVE | 1100 | 112.2 | 1100 | - | AR 11 | https://www.alpinefoil.com/kitefoil-windfoil-shop/ailes-foils/aile-rsx-carve.html
AlpineFoil | RS | 500 | 68.0 | 515 | - | Name sagt 500, veroeffentlicht 515 cm2; AR 9,0 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rs500.html
AlpineFoil | RS | 600 | 72.0 | 600 | - | AR 8,7 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-rs-600-wingfoil-kitefoil-windfoil.html
AlpineFoil | DW | 750 | 77.0 | 750 | - | AR 7,9 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wingfoil-wing-dw-750.html
AlpineFoil | DW | 840 | 81.0 | 840 | - | AR 8,14 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-dw-840.html
AlpineFoil | DW | 980 | 93.0 | 980 | - | AR 8,8 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/dowwind-wing-dw-980-1655819690-1655820217-1655820783.html
AlpineFoil | DW | 1180 | 94.0 | 1180 | - | AR 7,5 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-dw1180.html
AlpineFoil | DW | 1370 | 109.0 | 1370 | - | AR 8,7 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wing-1370-1655820487-1655821525-1655821770-1655821874-1655993619.html
AlpineFoil | DW | 1680 | 109.0 | 1680 | - | AR 7, gleiche Spannweite wie DW1370 | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-regata-1100-1-1655819469-1655820828-1655975415-1655975508-1655993784.html
AlpineFoil | REGATA | 580 | 65.0 | 580 | - | High Aspect, Profil RTeam | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-regata-580.html
AlpineFoil | REGATA | 850 | 88.0 | 850 | - | - | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-regata-850.html
AlpineFoil | REGATA | 1100 | 100.0 | 1100 | - | Profil RTeam | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-regata-1100.html
AlpineFoil | ULW | 900 | 84.0 | 945 | - | Name sagt 900, veroeffentlicht 945 cm2; Profil MHA | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-alpinefoil-ulw900.html
AlpineFoil | ULW | 1200 BSC | 86.0 | 1200 | - | Profil MHA | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/windfoil-wing-ulw-1200-carbon.html
AlpineFoil | CRUISE | 1250 | 86.5 | 1250 | - | Profil MHA | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/wingfoil-wing-cruise-1250-carbon-1.html
AlpineFoil | CRUISE | 1450 | 89.0 | 1450 | - | duennes Alpinefoil-Profil, MHA | https://www.alpinefoil.com/en/kitefoil-windfoil-store/hydrofoil-wings/cruise-1450.html
Konrad Boarding | GTX | 870 | - | 870 | - | Hersteller veroeffentlicht NUR die Flaeche (rohes HTML geprueft) | https://www.konradboarding.com/product-page/gtx-front-wing-speed-wing
Konrad Boarding | GTX | 1079 | - | 1079 | - | nur Flaeche | https://www.konradboarding.com/product-page/gtx-front-wing-speed-wing
Konrad Boarding | GTX | 1283 | - | 1283 | - | nur Flaeche | https://www.konradboarding.com/product-page/gtx-front-wing-speed-wing
Konrad Boarding | GTX | 1460 | - | 1460 | - | nur Flaeche | https://www.konradboarding.com/product-page/gtx-front-wing-speed-wing
Konrad Boarding | STX | 790 | - | 790 | - | nur Flaeche | https://www.konradboarding.com/product-page/stx-series-surf-thin-axis-art-v2-wing-alternative
Konrad Boarding | STX | 900 | - | 900 | - | nur Flaeche | https://www.konradboarding.com/product-page/stx-series-surf-thin-axis-art-v2-wing-alternative
Konrad Boarding | STX | 1038 | - | 1038 | - | nur Flaeche | https://www.konradboarding.com/product-page/stx-series-surf-thin-axis-art-v2-wing-alternative
Konrad Boarding | GS | 1250 | - | 1250 | - | Seite heisst GS, URL-Rest legacy ha-series | https://www.konradboarding.com/product-page/ha-series-wing
Konrad Boarding | GS | 1550 | - | 1550 | - | nur Flaeche | https://www.konradboarding.com/product-page/ha-series-wing
Konrad Boarding | GS | 1850 | - | 1850 | - | nur Flaeche | https://www.konradboarding.com/product-page/ha-series-wing
Konrad Boarding | SS | 1300 | - | 1300 | - | Surf-Reihe, niedriges AR | https://www.konradboarding.com/product-page/ss-series-wing
Konrad Boarding | SS | 1600 | - | 1600 | - | nur Flaeche | https://www.konradboarding.com/product-page/ss-series-wing
Konrad Boarding | SS | 1900 | - | 1900 | - | nur Flaeche | https://www.konradboarding.com/product-page/ss-series-wing
Konrad Boarding | DX | 1291 | - | 1291 | - | rohes HTML geprueft | https://www.konradboarding.com/product-page/dx-wings-downwind-axis-art-pro-wing-alternative
Konrad Boarding | DX | 1647 | - | 1647 | - | nur Flaeche | https://www.konradboarding.com/product-page/dx-wings-downwind-axis-art-pro-wing-alternative
CORE | CFS Vert | 700 | 70.0 | 700 | - | von mir an der Herstellerseite gegengeprueft | https://ridecore.com/us/foil/foils/cfs-vert
CORE | CFS Vert | 850 | 90.0 | 850 | - | von mir gegengeprueft (Spannweite steht wirklich so) | https://ridecore.com/us/foil/foils/cfs-vert
CORE | CFS Vert | 1050 | 100.0 | 1050 | - | von mir gegengeprueft | https://ridecore.com/us/foil/foils/cfs-vert
GoFoil | GT | GT1050 | 73.5 | 1054 | - | "Projected Surface Area" (Herstellerbegriff) | https://gofoil.com/products/gt1050
GoFoil | GT | GT1400 | 96.5 | 1384 | - | projizierte Flaeche | https://gofoil.com/products/gt-1400
GoFoil | GT | GT1770 | 103 | 1768 | - | projizierte Flaeche | https://gofoil.com/products/gt1770
GoFoil | GT | GT2200 | 112 | 2186 | - | projizierte Flaeche | https://gofoil.com/products/gt2200
GoFoil | RS | RS600-X | 63 | 598 | - | projizierte Flaeche | https://gofoil.com/products/rs600-x
GoFoil | RS | RS650-HA | 69 | 642 | - | projizierte Flaeche | https://gofoil.com/products/rs650-ha
GoFoil | RS | RS975-X | 80 | 978 | - | projizierte Flaeche | https://gofoil.com/products/rs975-x
GoFoil | RS | RS1000 | 81.5 | 1000 | - | projizierte Flaeche | https://gofoil.com/products/rs1000
GoFoil | RS | RS1075-X | 91 | 1040 | - | projizierte Flaeche | https://gofoil.com/products/rs1075-x
GoFoil | RS | RS1150 | 91.5 | 1136 | - | projizierte Flaeche | https://gofoil.com/products/rs1150
GoFoil | RS | RS1300 | 105 | 1306 | - | projizierte Flaeche | https://gofoil.com/products/rs1300
GoFoil | P | P1125-HA | 122 | 1128 | - | einzige P-Groesse noch im Shop | https://gofoil.com/products/p1125-ha
Delta | Progression HA | 1280 | 89 | 1280 | - | Hersteller sagt nur "Area", nicht projiziert/planform | https://deltahydrofoil.com/pages/wing-specs
Delta | Progression HA | 1450 | 100 | 1450 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Progression HA | 1740 | 110 | 1740 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Reflex | 860 | 57 | 860 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Reflex | 890 | 56 | 890 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Reflex | 1500 | 75 | 1500 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Surf | 1280 | 75 | 1280 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Surf | 1660 | 82 | 1660 | - | Flaechenart nicht angegeben | https://deltahydrofoil.com/pages/wing-specs
Delta | Carve MA | 850 | 80 | 850 | - | einzige Groesse der Reihe | https://deltahydrofoil.com/pages/wing-specs
Zeeko | Spitfire | Standard | - | 590 | - | nur Flaeche veroeffentlicht, keine Spannweite | https://zeeko-watersports.com/en/products/set-wings-for-spitfire
Zeeko | Spitfire | XLW | - | 800 | - | nur Flaeche | https://zeeko-watersports.com/en/products/set-wings-for-spitfire
Zeeko | Spitfire | XXLW | - | 1300 | - | nur Flaeche | https://zeeko-watersports.com/en/products/set-wings-for-spitfire
GA Foils | Free | FR 900 | 71 | 928 | - | Flaechenart nicht unterschieden | https://ga-foils.com/foils/free-frontwings/
GA Foils | Free | FR 1200 | 75 | 1201 | - | - | https://ga-foils.com/foils/free-frontwings/
GA Foils | Free | FR 1500 | 84 | 1494 | - | - | https://ga-foils.com/foils/free-frontwings/
GA Foils | Free | FR 2000 | 98 | 2024 | - | - | https://ga-foils.com/foils/free-frontwings/
GA Foils | Free | FR 2500 | 112 | 2432 | - | - | https://ga-foils.com/foils/free-frontwings/
GA Foils | HP | HP 1050 | 76.4 | 1075 | - | - | https://ga-foils.com/foils/hp-frontwings/
GA Foils | HP | HP 1150 | 82.4 | 1150 | - | - | https://ga-foils.com/foils/hp-frontwings/
GA Foils | HP | HP 1450 | 92 | 1451 | - | - | https://ga-foils.com/foils/hp-frontwings/
GA Foils | HP | HP 1750 | 97.5 | 1750 | - | - | https://ga-foils.com/foils/hp-frontwings/
GA Foils | MP | MP 690 | 66.1 | 691 | - | - | https://ga-foils.com/foils/mp-frontwings/
GA Foils | MP | MP 890 | 81.3 | 891 | - | - | https://ga-foils.com/foils/mp-frontwings/
GA Foils | MP | MP 1090 | 89.5 | 1082 | - | Flaeche 1082, nicht 1090 wie der Name | https://ga-foils.com/foils/mp-frontwings/
GA Foils | MP | MP 1290 | 102.5 | 1289 | - | - | https://ga-foils.com/foils/mp-frontwings/
GA Foils | MP | MP 1490 | 112.6 | 1491 | - | - | https://ga-foils.com/foils/mp-frontwings/
Fanatic | Aero Glide | 725 | 83 | 725 | - | AR 9,5 | https://www.fanatic.com/en/uk/products/fanatic-x-aero-glide-range-al-3-0-2023-32220-3787
Fanatic | Aero Glide | 905 | 92 | 905 | - | AR 9,4 | https://www.fanatic.com/en/uk/products/fanatic-x-aero-glide-range-al-3-0-2023-32220-3787
Fanatic | Aero Glide | 1085 | 100 | 1085 | - | AR 9,3 | https://www.fanatic.com/en/uk/products/fanatic-x-aero-glide-range-al-3-0-2023-32220-3787
Fanatic | Aero Glide | 1305 | 110 | 1305 | - | AR 9,3 | https://www.fanatic.com/en/uk/products/fanatic-x-aero-glide-range-al-3-0-2023-32220-3787
Fanatic | Aero Lift | 2400 | 110 | 2400 | - | ACHTUNG: Fanatics Tabelle nennt "1110 cm" (Fehler auf der Herstellerseite); 110 cm stammt aus deren Fliesstext und passt zu AR 5,1 bei 2400 cm2 | https://www.fanatic.com/en/us/products/fanatic-x-aero-lift-range-al-3-0-2022-32220-3780
Ensis | Pacer | 950 | 75.4 | 950 | - | Spannweite aus mm umgerechnet | https://ensis.surf/pages/sizes-and-specifications-pacer-front-wing
Ensis | Pacer | 1250 | 86.4 | 1250 | - | aus mm | https://ensis.surf/pages/sizes-and-specifications-pacer-front-wing
Ensis | Pacer | 1550 | 96.4 | 1550 | - | aus mm | https://ensis.surf/pages/sizes-and-specifications-pacer-front-wing
Ensis | Pacer | 1850 | 105.4 | 1850 | - | aus mm | https://ensis.surf/pages/sizes-and-specifications-pacer-front-wing
Ensis | Pacer | 2200 | 109.4 | 2200 | - | aus mm | https://ensis.surf/pages/sizes-and-specifications-pacer-front-wing
Ensis | Flow Ace | 630 | - | 630 | - | eigenes Modell, NICHT identisch mit Maniac Infinity/Stride ACE; nur Flaeche veroeffentlicht | https://ensis.surf/products/flow-ace-foil-set
Ensis | Flow Ace | 720 | - | 720 | - | nur Flaeche | https://ensis.surf/products/flow-ace-foil-set
Ensis | Flow Ace | 900 | - | 900 | - | nur Flaeche | https://ensis.surf/products/flow-ace-foil-set
Ensis | Flow Ace | 1080 | - | 1080 | - | nur Flaeche | https://ensis.surf/products/flow-ace-foil-set
Ensis | Flow Ace | 1260 | - | 1260 | - | nur Flaeche | https://ensis.surf/products/flow-ace-foil-set
F-One | SK8 | 550 | 67 | 550 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 650 | 72.5 | 650 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 750 | 77.5 | 750 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 850 | 82.5 | 850 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 950 | 87 | 950 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 1050 | 91.5 | 1050 | - | - | https://www.f-one.world/product/sk8/
F-One | SK8 | 1150 | 96 | 1150 | - | - | https://www.f-one.world/product/sk8/
RRD | UNIVERSAL CARBON FRONT WING Y26 | 2400 | 110 | 2400 | 28.5 | rohes HTML geprueft | https://watersports.robertoriccidesigns.com/products/universal_carbon_front_wing_y26
RRD | UNIVERSAL CARBON FRONT WING Y26 | 1582 | 82 | 1582 | 30 | rohes HTML geprueft | https://watersports.robertoriccidesigns.com/products/universal_carbon_front_wing_y26
RRD | BLAZE CARBON FRONT WING Y27 | 530 | 58 | 530 | 12 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 650 | 64.5 | 650 | 15 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 750 | 69 | 750 | 16 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 850 | 72.5 | 850 | 17 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
RRD | BLAZE CARBON FRONT WING Y27 | 950 | 79 | 950 | 19 | - | https://watersports.robertoriccidesigns.com/products/blaze_carbon_front_wing_y27
