id,user_id,sport,sport_class,sport_source,is_pumpfoil
1,2,generic,pumpfoil,default,True
2,2,generic,pumpfoil,default,True
3,2,generic,pumpfoil,default,True
4,2,generic,pumpfoil,default,True
5,2,generic,pumpfoil,default,True
6,2,generic,pumpfoil,default,True
7,2,generic,pumpfoil,default,True
8,2,generic,pumpfoil,default,True
9,2,surfing,pumpfoil,default,True
10,2,surfing,pumpfoil,default,True
11,2,surfing,pumpfoil,default,True
13,2,surfing,pumpfoil,default,True
14,2,surfing,pumpfoil,default,True
15,2,surfing,pumpfoil,default,True
16,2,surfing,pumpfoil,default,True
17,2,surfing,pumpfoil,default,True
18,2,surfing,pumpfoil,default,True
19,2,surfing,pumpfoil,default,True
20,2,wakeboarding,pumpfoil,default,True
21,2,windsurfing,pumpfoil,default,True
22,2,kitesurfing,pumpfoil,default,True
25,2,open_water,pumpfoil,default,True
26,2,open_water,pumpfoil,default,True
28,2,open_water,pumpfoil,default,True
29,2,open_water,pumpfoil,default,True
30,2,open_water,pumpfoil,default,True
31,2,open_water,pumpfoil,default,True
32,2,open_water,pumpfoil,default,True
33,2,open_water,pumpfoil,default,True
34,2,open_water,pumpfoil,default,True
35,2,open_water,pumpfoil,default,True
36,2,open_water,pumpfoil,default,True
37,2,open_water,pumpfoil,default,True
38,2,open_water,pumpfoil,default,True
39,2,open_water,pumpfoil,default,True
40,2,open_water,pumpfoil,default,True
41,2,open_water,pumpfoil,default,True
42,2,open_water,pumpfoil,default,True
52,2,surfing,pumpfoil,default,True
54,2,surfing,pumpfoil,default,True
55,2,surfing,pumpfoil,default,True
57,2,surfing,pumpfoil,default,True
58,2,surfing,pumpfoil,default,True
59,2,surfing,pumpfoil,default,True
60,2,surfing,pumpfoil,default,True
62,2,surfing,pumpfoil,default,True
64,2,surfing,pumpfoil,default,True
67,2,surfing,pumpfoil,default,True
69,2,surfing,pumpfoil,default,True
72,2,surfing,pumpfoil,default,True
73,2,stand_up_paddleboarding,pumpfoil,default,True
75,2,surfing,pumpfoil,default,True
76,2,surfing,pumpfoil,default,True
77,2,surfing,pumpfoil,default,True
79,2,surfing,pumpfoil,default,True
81,2,surfing,pumpfoil,default,True
82,2,surfing,pumpfoil,default,True
83,2,surfing,pumpfoil,default,True
84,2,surfing,pumpfoil,default,True
85,2,surfing,pumpfoil,default,True
86,2,surfing,pumpfoil,default,True
87,2,surfing,pumpfoil,default,True
88,2,surfing,pumpfoil,default,True
90,2,surfing,pumpfoil,default,True
92,2,surfing,pumpfoil,default,True
96,2,surfing,pumpfoil,default,True
98,2,surfing,pumpfoil,default,True
99,2,surfing,pumpfoil,default,True
100,2,surfing,pumpfoil,default,True
101,2,surfing,pumpfoil,default,True
102,2,surfing,pumpfoil,default,True
103,2,surfing,pumpfoil,default,True
104,2,surfing,pumpfoil,default,True
105,2,surfing,pumpfoil,default,True
106,2,surfing,pumpfoil,default,True
107,2,surfing,pumpfoil,default,True
108,2,surfing,pumpfoil,default,True
109,2,surfing,pumpfoil,default,True
110,2,surfing,pumpfoil,default,True
111,2,surfing,pumpfoil,default,True
112,2,surfing,pumpfoil,default,True
113,2,surfing,pumpfoil,default,True
114,2,surfing,pumpfoil,default,True
115,2,surfing,pumpfoil,default,True
116,2,surfing,pumpfoil,default,True
117,2,surfing,pumpfoil,default,True
118,2,surfing,pumpfoil,default,True
119,2,surfing,pumpfoil,default,True
121,2,surfing,pumpfoil,default,True
122,2,surfing,pumpfoil,default,True
123,2,surfing,pumpfoil,default,True
124,2,surfing,pumpfoil,default,True
125,2,surfing,pumpfoil,default,True
126,2,surfing,pumpfoil,default,True
127,2,surfing,pumpfoil,default,True
128,2,surfing,pumpfoil,default,True
130,2,surfing,pumpfoil,default,True
131,2,surfing,pumpfoil,default,True
132,2,surfing,pumpfoil,default,True
134,2,surfing,pumpfoil,default,True
135,2,surfing,pumpfoil,default,True
138,2,surfing,pumpfoil,default,True
139,2,surfing,pumpfoil,default,True
141,2,surfing,pumpfoil,default,True
142,2,surfing,pumpfoil,default,True
143,2,surfing,pumpfoil,default,True
144,2,surfing,pumpfoil,default,True
145,2,surfing,pumpfoil,default,True
146,2,surfing,pumpfoil,default,True
147,2,surfing,pumpfoil,default,True
148,2,surfing,pumpfoil,default,True
149,2,surfing,pumpfoil,default,True
150,2,surfing,pumpfoil,default,True
151,2,surfing,pumpfoil,default,True
152,2,surfing,pumpfoil,default,True
153,2,surfing,pumpfoil,default,True
154,2,surfing,pumpfoil,default,True
155,2,surfing,pumpfoil,default,True
156,2,surfing,pumpfoil,default,True
157,2,surfing,pumpfoil,default,True
158,2,surfing,pumpfoil,default,True
159,2,surfing,pumpfoil,default,True
160,2,surfing,pumpfoil,default,True
161,2,surfing,pumpfoil,default,True
162,2,surfing,pumpfoil,default,True
163,2,surfing,pumpfoil,default,True
164,2,surfing,pumpfoil,default,True
165,2,surfing,pumpfoil,default,True
166,2,surfing,pumpfoil,default,True
167,2,surfing,pumpfoil,default,True
168,2,surfing,pumpfoil,default,True
169,2,surfing,pumpfoil,default,True
170,2,surfing,pumpfoil,default,True
171,2,surfing,pumpfoil,default,True
174,2,surfing,pumpfoil,default,True
175,2,surfing,pumpfoil,default,True
176,2,surfing,pumpfoil,default,True
177,2,surfing,pumpfoil,default,True
178,2,surfing,pumpfoil,default,True
179,2,surfing,pumpfoil,default,True
180,2,surfing,pumpfoil,default,True
181,2,surfing,pumpfoil,default,True
184,2,surfing,pumpfoil,default,True
186,2,surfing,pumpfoil,default,True
187,2,surfing,pumpfoil,default,True
188,2,surfing,pumpfoil,default,True
189,2,surfing,pumpfoil,default,True
190,2,surfing,pumpfoil,default,True
191,2,surfing,pumpfoil,default,True
192,2,surfing,pumpfoil,default,True
200,2,surfing,pumpfoil,default,True
206,2,surfing,pumpfoil,default,True
207,2,surfing,pumpfoil,default,True
208,2,surfing,pumpfoil,default,True
209,2,surfing,pumpfoil,default,True
210,2,surfing,pumpfoil,default,True
211,2,surfing,pumpfoil,default,True
212,2,surfing,pumpfoil,default,True
214,2,surfing,pumpfoil,default,True
216,2,surfing,pumpfoil,default,True
218,2,surfing,pumpfoil,default,True
219,2,surfing,pumpfoil,default,True
220,2,surfing,pumpfoil,default,True
221,2,surfing,pumpfoil,default,True
253,2,open_water,pumpfoil,default,True
254,2,open_water,pumpfoil,default,True
255,2,open_water,pumpfoil,default,True
302,5,surfing,pumpfoil,default,True
360,13,open_water,pumpfoil,default,True
361,13,open_water,pumpfoil,default,True
410,17,pumpfoil,pumpfoil,default,True
411,17,pumpfoil,pumpfoil,default,True
412,17,pumpfoil,pumpfoil,default,True
428,17,pumpfoil,pumpfoil,default,True
429,21,pumpfoil,pumpfoil,auto,False
434,28,pumpfoil,pumpfoil,default,True
435,13,open_water,pumpfoil,default,True
436,13,open_water,pumpfoil,default,True
437,13,open_water,pumpfoil,default,True
438,13,open_water,pumpfoil,default,True
439,13,open_water,pumpfoil,default,True
440,13,open_water,pumpfoil,default,True
441,13,open_water,pumpfoil,default,True
442,28,pumpfoil,pumpfoil,default,True
443,28,pumpfoil,pumpfoil,default,True
444,28,pumpfoil,pumpfoil,default,True
447,21,pumpfoil,pumpfoil,default,True
460,21,pumpfoil,pumpfoil,auto,False
469,38,surfing,pumpfoil,default,True
470,38,surfing,pumpfoil,owner,True
471,38,surfing,pumpfoil,default,True
472,38,surfing,pumpfoil,default,False
476,17,pumpfoil,pumpfoil,default,True
477,21,pumpfoil,pumpfoil,auto,False
486,43,open_water,pumpfoil,default,True
487,43,open_water,pumpfoil,default,True
488,43,open_water,pumpfoil,default,True
491,43,open_water,pumpfoil,default,False
492,43,open_water,pumpfoil,default,True
493,43,open_water,pumpfoil,default,True
494,43,open_water,pumpfoil,default,True
495,43,open_water,pumpfoil,default,True
515,28,pumpfoil,pumpfoil,default,True
520,17,pumpfoil,pumpfoil,default,True
531,17,pumpfoil,pumpfoil,default,True
532,17,pumpfoil,pumpfoil,default,True
533,17,pumpfoil,pumpfoil,default,True
534,17,pumpfoil,pumpfoil,default,True
535,20,pumpfoil,pumpfoil,default,True
566,59,open_water,pumpfoil,default,True
568,17,pumpfoil,pumpfoil,owner,True
622,69,open_water,pumpfoil,default,True
624,75,pumpfoil,pumpfoil,default,True
625,70,pumpfoil,pumpfoil,default,True
627,17,pumpfoil,pumpfoil,default,True
634,70,pumpfoil,pumpfoil,default,True
635,70,pumpfoil,pumpfoil,default,True
636,70,pumpfoil,pumpfoil,default,True
637,70,pumpfoil,pumpfoil,default,True
638,70,pumpfoil,pumpfoil,default,True
639,70,pumpfoil,pumpfoil,default,True
640,70,pumpfoil,pumpfoil,default,True
641,70,pumpfoil,pumpfoil,default,True
642,70,pumpfoil,pumpfoil,default,True
643,70,pumpfoil,pumpfoil,default,True
644,70,pumpfoil,pumpfoil,default,True
645,70,pumpfoil,pumpfoil,default,True
658,17,pumpfoil,pumpfoil,default,True
662,17,pumpfoil,pumpfoil,default,True
664,70,pumpfoil,pumpfoil,default,True
694,87,pumpfoil,pumpfoil,default,True
700,70,pumpfoil,pumpfoil,default,True
719,97,generic,wakethief,admin,True
753,13,open_water,pumpfoil,default,True
765,87,pumpfoil,pumpfoil,default,True
780,108,generic,pumpfoil,default,True
781,108,open_water,pumpfoil,default,True
782,108,open_water,pumpfoil,default,True
783,108,open_water,pumpfoil,default,True
784,108,61,pumpfoil,default,False
785,108,61,pumpfoil,default,False
786,108,61,pumpfoil,default,False
787,108,generic,pumpfoil,default,True
788,108,generic,pumpfoil,default,True
789,108,generic,pumpfoil,default,True
790,87,pumpfoil,pumpfoil,default,True
794,17,pumpfoil,pumpfoil,default,True
804,87,pumpfoil,pumpfoil,default,True
825,17,pumpfoil,pumpfoil,default,True
841,28,pumpfoil,pumpfoil,default,True
849,20,pumpfoil,pumpfoil,default,True
903,28,pumpfoil,pumpfoil,default,True
914,87,pumpfoil,pumpfoil,default,True
924,13,pumpfoil,pumpfoil,default,True
932,70,pumpfoil,pumpfoil,default,True
934,97,generic,wakethief,admin,True
963,70,pumpfoil,pumpfoil,default,True
978,98,open_water,pumpfoil,default,True
979,128,open_water,pumpfoil,default,True
980,128,open_water,pumpfoil,default,True
983,128,open_water,pumpfoil,default,True
984,128,open_water,pumpfoil,default,True
985,128,open_water,pumpfoil,default,True
986,128,open_water,pumpfoil,default,True
987,128,open_water,pumpfoil,default,True
988,128,open_water,pumpfoil,default,True
989,128,open_water,pumpfoil,default,True
990,128,open_water,pumpfoil,default,True
991,128,open_water,pumpfoil,default,True
992,128,open_water,pumpfoil,default,True
993,128,open_water,pumpfoil,default,True
994,98,open_water,pumpfoil,default,True
995,98,open_water,pumpfoil,default,True
996,98,open_water,pumpfoil,default,True
997,98,open_water,pumpfoil,default,True
998,98,open_water,pumpfoil,default,True
